Year,Experiment,Location,Treatment,Trt_code,Rep,Plot,Baseline Nitrate,Recalculated IWG Grain kg/ha,Recalculated IWG Straw kg/ha,Legume Biomass kg/ha,Total VBiomass,Legume,Weed Biomass kg/ha,Legume weed biomass kg/ha,Plot,IWG_%C,IWG_13C,IWG_%N,IWG_15N,IWG_CN,Diff_IWG_LEG,Leg_Fraction,% N_transfer
2018,Legume Trial,Lamberton,80 Lbs lb N/Ac,HiN,4,405,,294.945,4229.4,NA,4229.4,0,5.980861244,1.954545455,405,43.7479239,-30.403,1.15,2.7263,38.1732,NA,NA,NA
2018,Legume Trial,Lamberton,Alfalfa,Alf,1,105,,187.62,2941.5,381.5789474,3323.078947,1,2.392344498,0.119617225,105,41.9732431,-30.377,0.86,2.4816,48.5345,1.67155615,0.68619634,-0.32198434
2018,Legume Trial,Lamberton,Alfalfa,Alf,2,204,,131.175,1144.8,816.9856459,1961.785646,1,462.9186603,0,204,42.0544467,-29.453,0.97,1.8269,43.1771,0.29687531,0.93555657,-0.088169752
2018,Legume Trial,Lamberton,Alfalfa,Alf,3,309,,143.895,2520.15,440.1913876,2960.341388,1,0,78.94736842,309,42.1807634,-30.177,1,1.3182,42.2436,1.04821758,0.82132933,0.093493722
2018,Legume Trial,Lamberton,Alfalfa,Alf,4,404,,284.61,3847.8,415.0717703,4262.87177,1,1.196172249,0,404,43.2872293,-30.385,0.91,1.8092,47.783,0.54916733,0.8873909,-0.081845473
2018,Legume Trial,Lamberton,Alsike Clover,AlCl,1,107,,341.055,4038.6,240.430622,4279.030622,1,20.33492823,544.2583732,107,43.0342989,-30.037,0.83,2.6238,52.0567,2.93375309,0.54492583,-0.37276896
2018,Legume Trial,Lamberton,Alsike Clover,AlCl,2,202,,234.525,2400.9,45.45454545,2446.354545,1,2509.569378,15.55023923,202,43.1426976,-29.729,1.03,4.8154,41.9892,3.14539378,0.29582177,-1.155497778
2018,Legume Trial,Lamberton,Alsike Clover,AlCl,3,305,,166.95,1844.4,69.37799043,1913.77799,1,39.47368421,0,305,43.3233622,-29.749,0.96,2.9195,45.3367,2.43953614,0.56873953,-0.478405763
2018,Legume Trial,Lamberton,Alsike Clover,AlCl,4,409,,243.27,2703,27.51196172,2730.511962,1,527.5119617,9.56937799,409,42.7904017,-29.912,0.93,1.9405,45.8146,2.15045932,0.661172,-0.12873547
2018,Legume Trial,Lamberton,Birdsfoot Trefoil,BTre,1,104,,140.715,2528.1,1812.200957,4340.300957,1,50.23923445,28.70813397,104,41.3416595,-30.736,0.82,1.7111,50.5257,1.78105124,0.71304645,-0.046804016
2018,Legume Trial,Lamberton,Birdsfoot Trefoil,BTre,2,205,,194.775,3243.6,2403.110048,5646.710048,1,47.84688995,1.155502392,205,43.3775616,-29.726,0.95,2.7023,45.5641,2.99230456,0.53439906,-0.400823058
2018,Legume Trial,Lamberton,Birdsfoot Trefoil,BTre,3,302,,190.8,4388.4,2501.196172,6889.596172,1,0,2.754784689,302,41.8288811,-30.189,0.84,1.476,49.6646,1.5460007,0.75091655,0.037142606
2018,Legume Trial,Lamberton,Birdsfoot Trefoil,BTre,4,402,,159,3720.6,2025.119617,5745.719617,1,2.392344498,9.56937799,402,41.92813,-29.822,NA,1.376,NA,1.66598578,0.74077353,0.072862223
